compound_name,inchikey,molecule_chembl_id,activity_id,assay_chembl_id,assay_type,assay_description,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,pchembl_value,document_chembl_id
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25924901,CHEMBL5529242,F,Effect on AKT1 level in human A549 cells at 50 to 200 nM by Western blotting analysis,CHEMBL612545,Unchecked,Activity,,,,,CHEMBL5528029
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25924907,CHEMBL5529247,F,Inhibition of epithelial-to-mesenchymal transition in human A549 cells assessed as upregulation of E-cadherin protein expression at 50 to 200 nM by Western blotting analysis,CHEMBL392,A549,Inhibition,,,%,,CHEMBL5528029
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25924909,CHEMBL5529248,F,Inhibition of epithelial-to-mesenchymal transition in human A549 cells assessed as downregulation of N-cadherin protein expression at 50 to 200 nM by Western blotting analysis,CHEMBL392,A549,Inhibition,,,%,,CHEMBL5528029
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25924914,CHEMBL5529252,F,"Antitumor activity against human A549 cells xenografted in SPF BALB/c nude mouse assessed as tumor growth inhibition at 30 mg/kg, ip administered for 14 days",CHEMBL392,A549,Activity,,,,,CHEMBL5528029
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25924919,CHEMBL5529257,F,Inhibition of TGF-beta1 induced mouse NIH3T3 cells activation assessed as reduction in alpha-SMA level at 5 uM preincubated with TGF-beta1 followed by compound addition by immunofluorescence staining based assay,CHEMBL614822,NIH3T3,Inhibition,,,%,,CHEMBL5528029
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25924924,CHEMBL5529261,F,"Antifibrotic activity against bleomycin-induced C57BL/6 mouse model of pulmonary fibrosis assessed as increase in animal survival at 30 mg/kg, ip administered once daily for 21 days",CHEMBL375,Mus musculus,Activity,,,,,CHEMBL5528029
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25942155,CHEMBL5534753,B,Inhibition of MYT1 (unknown origin),CHEMBL2331044,Myelin transcription factor 1,IC50,=,226.0,nM,6.65,CHEMBL5532670
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25948605,CHEMBL5536101,F,Cytotoxicity against human ASPC1 cells harboring KRAS G12D mutant assessed as inhibition of cell growth,CHEMBL612588,ASPC1,IC50,=,3300.0,nM,5.48,CHEMBL5532711
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25948616,CHEMBL5536102,F,Cytotoxicity against human SNU-449 cells assessed as inhibition of cell growth,CHEMBL1075585,SNU-449,IC50,,,,,CHEMBL5532711
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25948627,CHEMBL5536103,F,Cytotoxicity against human MCF7 cells assessed as inhibition of cell growth,CHEMBL387,MCF7,IC50,>,10000.0,nM,,CHEMBL5532711
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25951868,CHEMBL5537225,F,Antiviral activity against SARS-CoV-2 NRC-03-nhCoV infected in african green monkey Vero E6 cells assessed as inhibition of virus-induced cytopathic effect measured after 72 hrs by crystal violet staining based assay,CHEMBL4303835,SARS-CoV-2,EC50,=,2100.0,nM,5.68,CHEMBL5537108
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25951869,CHEMBL5537226,F,Antiviral activity against MERS-CoV infected in african green monkey Vero E6,CHEMBL4296578,Middle East respiratory syndrome-related coronavirus,EC50,=,5400.0,nM,5.27,CHEMBL5537108
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25969034,CHEMBL5541846,B,Inhibition of AKT phosphorylation in human Osimertinib-resistant NCI-H1975 cell (AZDR) at 1 uM incubated for 24 hrs by Western blot analysis,CHEMBL2111353,Serine/threonine-protein kinase AKT,Inhibition,,,%,,CHEMBL5537206
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25969037,CHEMBL5541848,F,Induction of apoptosis in human human Osimertinib-resistant NCI-H1975 cell (AZDR) assessed as early apoptotic cells at 1 uM incubated for 24 hrs by Annexin V and propidium iodide staining based flow cytometry analysis (Rvb = 3.38%),CHEMBL6066797,Osimertinib-resistant NCI-H1975 cell,Activity,=,10.2,%,,CHEMBL5537206
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25969042,CHEMBL5541851,F,Induction of apoptosis in human human Osimertinib-resistant NCI-H1975 cell (AZDR) assessed as late apoptotic cells at 1 uM incubated for 24 hrs by Annexin V and propidium iodide staining based flow cytometry analysis (Rvb = 1.06%),CHEMBL6066797,Osimertinib-resistant NCI-H1975 cell,Activity,=,7.4,%,,CHEMBL5537206
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25969045,CHEMBL5541853,F,Induction of apoptosis in human human Osimertinib-resistant NCI-H1975 cell (AZDR) assessed as early apoptotic cells at 1 uM incubated for 24 hrs in presence of osimertinib by Annexin V and propidium iodide staining based flow cytometry analysis (Rvb = 3.38%),CHEMBL6066797,Osimertinib-resistant NCI-H1975 cell,Activity,=,19.6,%,,CHEMBL5537206
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,59656,CHEMBL647989,B,Inhibition of ALR2 (aldose reductase) of bovine lens,CHEMBL3081,Aldo-keto reductase family 1 member B1,IC50,=,32870.0,nM,4.48,CHEMBL1132271
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,59657,CHEMBL647988,B,The compound was tested for Inhibitory effect against ALR1 in bovine kidneys,CHEMBL3081,Aldo-keto reductase family 1 member B1,IC50,=,10340.0,nM,4.99,CHEMBL1132271
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,59658,CHEMBL848139,B,Compound was tested for Ratio of IC50(ALR1)/(ALR2),CHEMBL612545,Unchecked,Ratio,=,0.3,,,CHEMBL1132271
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,99646,CHEMBL642975,B,In vitro inhibitory activity against aldose reductase (ALR2) from rat lens extraction.,CHEMBL2622,Aldo-keto reductase family 1 member B1,IC50,=,8320.0,nM,5.08,CHEMBL1136757
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,99647,CHEMBL642975,B,In vitro inhibitory activity against aldose reductase (ALR2) from rat lens extraction.,CHEMBL2622,Aldo-keto reductase family 1 member B1,IC50,=,7810.0,nM,5.11,CHEMBL1136757
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,99648,CHEMBL644880,B,In vitro inhibitory activity against aldehyde reductase 1 (ALR1) from rat kidney.,CHEMBL3871,Aldo-keto reductase family 1 member A1,IC50,=,2320.0,nM,5.63,CHEMBL1136757
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,99649,CHEMBL803972,B,In vitro inhibitory activity against sorbitol dehydrogenase (SD) from sheep liver,CHEMBL2275,Sorbitol dehydrogenase,IC50,=,35600.0,nM,4.45,CHEMBL1136757
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,99650,CHEMBL681072,B,In vitro inhibitory activity against glutathione reductase (GR) from bakers yeast,CHEMBL4119,Glutathione reductase,IC50,=,48800.0,nM,4.31,CHEMBL1136757
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,101430,CHEMBL729215,F,Evaluated for the antioxidant property by measuring the inhibition of microsomal lipid peroxidation,CHEMBL612545,Unchecked,IC50,=,950.0,nM,6.02,CHEMBL1134424
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,194565,CHEMBL644746,B,Inhibition of cell surface aminopeptidase N (APN/CD13) at 0.3*10e-3 M compound concentration,CHEMBL2590,Aminopeptidase N,Inhibition,=,73.0,%,,CHEMBL1145072
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,194566,CHEMBL752823,B,Inhibition of neutral endopeptidase (NEP/CD13) at 0.3*10e-3 M compound concentration,CHEMBL3369,Neprilysin,Inhibition,=,49.0,%,,CHEMBL1145072
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,198793,CHEMBL615603,F,Cytotoxic effect on 3T3 cells,CHEMBL614822,NIH3T3,IC50,=,39500.0,nM,4.40,CHEMBL1127530
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,198794,CHEMBL645945,F,Cytotoxic effect on v-abl transformed murine ANN-1 cells,CHEMBL614520,ANN-1,IC50,=,32500.0,nM,4.49,CHEMBL1127530
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,198795,CHEMBL709129,F,Cytotoxic effect on MCF-7 human breast carcinoma cells,CHEMBL387,MCF7,IC50,=,24000.0,nM,4.62,CHEMBL1127530
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,198796,CHEMBL819660,F,Cytotoxic effect on WiDr human colon cells,CHEMBL614647,WiDr,IC50,=,40200.0,nM,4.40,CHEMBL1127530
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,198797,CHEMBL675518,F,Inhibition of epidermal growth factor (EGF) receptor from A431 cell membranes at 150 uM,CHEMBL3608,Epidermal growth factor receptor,Inhibition,=,30.0,%,,CHEMBL1127530
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,198798,CHEMBL675516,F,Inhibition of epidermal growth factor (EGF) receptor from A431 cell membranes at 150 uM,CHEMBL3608,Epidermal growth factor receptor,Inhibition,=,25.0,%,,CHEMBL1127530
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,198799,CHEMBL676234,F,Cytotoxic effect on EGF-receptor overexpressing HN5 squamous carcinoma cells,CHEMBL203,Epidermal growth factor receptor,IC50,=,190000.0,nM,,CHEMBL1127530
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,198800,CHEMBL685358,F,Inhibition of EGF-induced mitogenesis in human foreskin fibroblasts,CHEMBL614071,HFF,IC50,=,46000.0,nM,4.34,CHEMBL1127530
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,198801,CHEMBL683591,F,Inhibition of EGF-induced mitogenesis in human foreskin fibroblasts,CHEMBL614071,HFF,IC50,=,28000.0,nM,4.55,CHEMBL1127530
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,198802,CHEMBL700638,F,Inhibition of PDGF-induced mitogenesis in human foreskin fibroblasts,CHEMBL614071,HFF,IC50,=,100000.0,nM,4.00,CHEMBL1127530
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,247235,CHEMBL619999,B,In vitro inhibition of 5-lipoxygenase (5-lo) from the 20000 g supernatant of RBI-1 cells,CHEMBL312,Polyunsaturated fatty acid 5-lipoxygenase,IC50,=,300.0,nM,6.52,CHEMBL1125582
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,276951,CHEMBL645597,B,Evaluated for inhibition of Aldose reductase 2,CHEMBL3081,Aldo-keto reductase family 1 member B1,IC50,=,39900.0,nM,4.40,CHEMBL1129380
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,276952,CHEMBL644882,B,Inhibition of Aldehyde reductase 2,CHEMBL3081,Aldo-keto reductase family 1 member B1,IC50,=,10300.0,nM,4.99,CHEMBL1129380
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,276953,CHEMBL803029,B,Inhibition of sorbitol dehydrogenase from sheep liver (40 U/mg of protein),CHEMBL2275,Sorbitol dehydrogenase,IC50,=,177000.0,nM,,CHEMBL1129380
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,276954,CHEMBL681067,B,Inhibition of Glutathione reductase,CHEMBL2755,"Glutathione reductase, mitochondrial",IC50,=,218000.0,nM,,CHEMBL1129380
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,301511,CHEMBL644300,B,Inhibitory concentration to aldose reductase (ALR-2) obtained from rat lens,CHEMBL2622,Aldo-keto reductase family 1 member B1,IC50,=,7810.0,nM,5.11,CHEMBL1134301
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,354884,CHEMBL661229,A,Binding affinity towards cytochrome P450 2C9,CHEMBL3397,Cytochrome P450 2C9,Ki,=,27000.0,nM,4.57,CHEMBL1148414
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,367173,CHEMBL638658,B,The compound was evaluated for in Vitro binding of AFB1 to DNA in rat liver microsomes; Pre-incubation time being 10 mins,CHEMBL2697,Aldo-keto reductase family 7 member A3,Inhibition,=,5.7,%,,CHEMBL1135327
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,367174,CHEMBL638659,B,The compound was evaluated for in Vitro binding of AFB1 to DNA in rat liver microsomes; Pre-incubation time being 20 mins,CHEMBL2697,Aldo-keto reductase family 7 member A3,Inhibition,=,5.2,%,,CHEMBL1135327
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,367175,CHEMBL638660,B,The compound was evaluated for in Vitro binding of AFB1 to DNA in rat liver microsomes; Pre-incubation time being 30 mins,CHEMBL2697,Aldo-keto reductase family 7 member A3,Inhibition,=,6.2,%,,CHEMBL1135327
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,367176,CHEMBL795780,F,Influence (5 uM) on transacetylase catalyzed time dependent activation of NADPH cytochrome C reductase at pre-incubation time being 5 mins,CHEMBL376,Rattus norvegicus,Activation,=,3.7,%,,CHEMBL1135327
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,367177,CHEMBL795778,F,Influence (5 uM) on transacetylase catalyzed time dependent activation of NADPH cytochrome C reductase at pre-incubation time being 10 mins,CHEMBL376,Rattus norvegicus,Activation,=,3.3,%,,CHEMBL1135327
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,367178,CHEMBL883325,F,Influence (5 uM) on transacetylase catalyzed time dependent activation of NADPH cytochrome C reductase at pre-incubation time being 20 mins,CHEMBL376,Rattus norvegicus,Activation,=,5.4,%,,CHEMBL1135327
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,367179,CHEMBL795779,F,Influence (5 uM) on transacetylase catalyzed time dependent activation of NADPH cytochrome C reductase at pre-incubation time being 30 mins,CHEMBL376,Rattus norvegicus,Activation,=,5.7,%,,CHEMBL1135327
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,367180,CHEMBL797455,F,Effect of compound on AFB1-induced micronuclei formation in rat bone marrow cells (Activity: Micronucleated cells/1000 cells),CHEMBL376,Rattus norvegicus,Activity,=,2.0,,,CHEMBL1135327
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,367181,CHEMBL797456,F,Effect of compound on AFB1-induced micronuclei formation in rat bone marrow cells in the presence of AFB1 (Activity: Micronucleated cells/1000 cells),CHEMBL376,Rattus norvegicus,Activity,=,6.0,,,CHEMBL1135327
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,369072,CHEMBL644306,B,In vitro inhibitory activity against Aldose reductase from rat lens,CHEMBL2622,Aldo-keto reductase family 1 member B1,IC50,=,7700.0,nM,5.11,CHEMBL1125790
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,369073,CHEMBL702216,B,In vitro inhibitory activity against L-Hexonate Dehydrogenase from rat kidney,CHEMBL2622,Aldo-keto reductase family 1 member B1,IC50,=,1000.0,nM,6.00,CHEMBL1125790
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,369074,CHEMBL851664,B,Selectivity as ratio of IC50 for rat lens and kidney aldose reductase,CHEMBL2622,Aldo-keto reductase family 1 member B1,Selectivity quotient,=,7.7,,,CHEMBL1125790
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,413521,CHEMBL792130,F,Mutagenicity evaluated by calculating number of revertants using Salmonella Typhimurium strain TA 98 (0.25 mg/plate) without S9 mix from rat liver,CHEMBL376,Rattus norvegicus,Revertants/plate,=,1100.0,,,CHEMBL1125251
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,413522,CHEMBL794008,F,Compound was evaluated for the mutagenicity by calculating number of revertants using Salmonella Typhimurium strain TA 98 (0.25 mg/plate) with S9 mix from rat liver; Toxic concentration,CHEMBL376,Rattus norvegicus,Revertants/plate,=,,,,CHEMBL1125251
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,413523,CHEMBL792125,F,Mutagenicity evaluated by calculating number of revertants using Salmonella Typhimurium strain TA 100 (0.25 mg/plate) without S9 mix from rat liver according to the plate incorporation assay.,CHEMBL376,Rattus norvegicus,Revertants/plate,=,589.0,,,CHEMBL1125251
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,413524,CHEMBL792124,F,Mutagenicity evaluated by calculating number of revertants using Salmonella Typhimurium strain TA 100 (0.25 mg/plate) with S9 mix from rat liver; Toxic concentration,CHEMBL376,Rattus norvegicus,Revertants/plate,=,,,,CHEMBL1125251
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,413525,CHEMBL794438,F,Mutagenicity evaluated by calculating number of revertants using Salmonella Typhimurium strain TA 98 (2.5 mg/plate) without S9 mix from rat liver according to the plate incorporation assay; Toxic concentration,CHEMBL376,Rattus norvegicus,Revertants/plate,=,,,,CHEMBL1125251
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,413526,CHEMBL791533,F,Compound was evaluated for the mutagenicity by calculating number of revertants using Salmonella Typhimurium strain TA 98 (2.5 mg/plate) with S9 mix from rat liver; Toxic concentration,CHEMBL376,Rattus norvegicus,Revertants/plate,=,,,,CHEMBL1125251
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,413527,CHEMBL792129,F,Mutagenicity evaluated by calculating number of revertants using Salmonella Typhimurium strain TA 100 (2.5 mg/plate) without S9 mix from rat liver; Toxic concentration,CHEMBL376,Rattus norvegicus,Revertants/plate,=,,,,CHEMBL1125251
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,413528,CHEMBL792127,F,Mutagenicity evaluated by calculating number of revertants using Salmonella Typhimurium strain TA 100 (2.5 mg/plate) with S9 mix from rat liver; Toxic concentration,CHEMBL376,Rattus norvegicus,Revertants/plate,=,,,,CHEMBL1125251
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,483148,CHEMBL781694,F,In vitro inhibition of LTB4 production was measured in rat blood,CHEMBL312,Polyunsaturated fatty acid 5-lipoxygenase,IC50,=,10000.0,nM,5.00,CHEMBL1125845
Quercetin,REFJWTPEDVJJIY-UHFFFAOYSA-N,CHEMBL50,483149,CHEMBL781696,F,In vitro inhibition of PGE-2 production was measured in rat blood,CHEMBL2095157,Cyclooxygenase,IC50,=,50000.0,nM,4.30,CHEMBL1125845
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,487463,CHEMBL784961,F,Inhibitory effect on the oxidative degradation of membrane lipids (lipid peroxidation assay) in microsomes of rat.,CHEMBL376,Rattus norvegicus,IC50,=,200.0,nM,6.70,CHEMBL1133084
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,487464,CHEMBL849529,F,Antioxidant activity was determined using trolox equivalent antioxidant capacity assay.,CHEMBL3879801,NON-PROTEIN TARGET,Activity,=,5.6,mM,,CHEMBL1133084
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,963901,CHEMBL702098,B,IC50 was measured as concentration required to inhibit 50% of HIV-integrase cleavage,CHEMBL3471,Human immunodeficiency virus type 1 integrase,IC50,=,28400.0,nM,4.55,CHEMBL1128265
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,963902,CHEMBL702099,B,IC50 was measured as concentration required to inhibit 50% of HIV-integrase integration,CHEMBL3471,Human immunodeficiency virus type 1 integrase,IC50,=,8500.0,nM,5.07,CHEMBL1128265
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1005426,CHEMBL749609,F,In vitro cytotoxic potency against NCI-60 human tumor cell line,CHEMBL614194,Panel NCI-60 (60 carcinoma cell lines),GI50,=,18000.0,nM,,CHEMBL1130998
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1158688,CHEMBL687258,B,In vitro antibacterial activity was determined as inhibitory concentration causing 50% DNA-gyrase supercoiling inhibition (SCI),CHEMBL2094139,DNA gyrase,IC50,=,83.3,ug.mL-1,,CHEMBL1127182
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1158689,CHEMBL687375,B,Concentration facilitating 50% of the maximum of the cleavable complex,CHEMBL3396,DNA topoisomerase 2-beta,CC50,=,76.3,ug.mL-1,,CHEMBL1127182
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1158690,CHEMBL682907,F,Tested for antibacterial activity as minimum inhibitory concentration against Escherichia coli-ss in the absence of polymyxin B nonapeptide (PBMN) at 0 ug/mL,CHEMBL354,Escherichia coli,MIC,=,62.5,ug.mL-1,,CHEMBL1127182
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1158691,CHEMBL682908,F,Tested for antibacterial activity as minimum inhibitory concentration against Escherichia coli-ss in the presence of polymyxin B nonapeptide (PBMN) at 1 ug/mL,CHEMBL354,Escherichia coli,MIC,=,3.9,ug.mL-1,,CHEMBL1127182
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1158692,CHEMBL800634,F,Tested for antibacterial activity as minimum inhibitory concentration against Salmonella Typhimurium 701 in the absence of polymyxin B nonapeptide (PBMN) at 0 ug/mL,CHEMBL351,Salmonella typhimurium,MIC,>,125.0,ug.mL-1,,CHEMBL1127182
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1158693,CHEMBL800635,F,Tested for antibacterial activity as minimum inhibitory concentration against Salmonella Typhimurium 701 in the presence of polymyxin B nonapeptide (PBMN) at 1 ug/mL,CHEMBL351,Salmonella typhimurium,MIC,=,31.25,ug.mL-1,,CHEMBL1127182
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1158694,CHEMBL771164,F,Tested for antibacterial activity as minimum inhibitory concentration against Pseudomonas maltophilia 1057 in the presence of polymyxin B nonapeptide (PBMN) at 0 ug/mL,CHEMBL612366,Stenotrophomonas maltophilia,MIC,>,125.0,ug.mL-1,,CHEMBL1127182
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1158695,CHEMBL771165,F,Tested for antibacterial activity as minimum inhibitory concentration against Pseudomonas maltophilia 1057 in the presence of polymyxin B nonapeptide (PBMN) at 1 ug/mL,CHEMBL612366,Stenotrophomonas maltophilia,MIC,>,125.0,ug.mL-1,,CHEMBL1127182
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1158696,CHEMBL678554,F,Tested for antibacterial activity as minimum inhibitory concentration against Escherichia coli KL-16 in the absence of polymyxin B nonapeptide (PBMN) at 0 ug/mL,CHEMBL354,Escherichia coli,MIC,>,125.0,ug.mL-1,,CHEMBL1127182
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1158697,CHEMBL678555,F,Tested for antibacterial activity as minimum inhibitory concentration against Escherichia coli KL-16 in the presence of polymyxin B nonapeptide (PBMN) at 1 ug/mL,CHEMBL354,Escherichia coli,MIC,=,15.6,ug.mL-1,,CHEMBL1127182
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1158698,CHEMBL807179,F,Tested for antibacterial activity as minimum inhibitory concentration against Staphylococcus epidermidis strain OC2603,CHEMBL353,Staphylococcus epidermidis,MIC,>,125.0,ug.mL-1,,CHEMBL1127182
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1158699,CHEMBL808643,F,Tested for antibacterial activity as minimum inhibitory concentration against Staphylococcus aureus strain OC6538,CHEMBL352,Staphylococcus aureus,MIC,>,125.0,ug.mL-1,,CHEMBL1127182
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1162795,CHEMBL684310,B,Inhibition constant of compound against binding of Yeast Glyoxalase I,CHEMBL2424,Lactoylglutathione lyase,Ki,=,13182.57,nM,4.88,CHEMBL1124156
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1407652,CHEMBL876996,B,Inhibition of Cyclin-dependent kinase 5-p25nck5a,CHEMBL1907600,Cyclin-dependent kinase 5/CDK5 activator 1,IC50,=,570.0,nM,6.24,CHEMBL1141883
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1407653,CHEMBL832848,B,Inhibition of cyclin-dependent kinase 1/cyclinB,CHEMBL2094127,Cyclin-dependent kinase 1/cyclin B,IC50,=,790.0,nM,6.10,CHEMBL1141883
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1407654,CHEMBL832923,B,Inhibition of human cyclin-dependent kinase 6 complex with a virus-encoded cyclin from herpesvirus saimiri (Vcyclin),CHEMBL2508,Cyclin-dependent kinase 6,IC50,=,850.0,nM,6.07,CHEMBL1141883
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1407655,CHEMBL832706,B,Inhibition of glycogen synthase kinase 3,CHEMBL2095188,Glycogen synthase kinase-3,IC50,=,420.0,nM,6.38,CHEMBL1141883
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1655413,CHEMBL862675,B,Inhibitory activity against PIM1 at 1 uM,CHEMBL2147,Serine/threonine-protein kinase pim-1,Activity,=,0.0,%,,CHEMBL1141212
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1655415,CHEMBL862676,B,Inhibitory activity against PIM1 at 10 uM,CHEMBL2147,Serine/threonine-protein kinase pim-1,Activity,=,0.0,%,,CHEMBL1141212
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1719473,CHEMBL859169,B,Inhibition of FabZ,CHEMBL4512,Fatty acid synthase,IC50,=,2000.0,nM,5.70,CHEMBL1148505
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1719474,CHEMBL859170,B,Inhibition of FabI,CHEMBL4150,Enoyl-acyl-carrier protein reductase,IC50,=,1000.0,nM,6.00,CHEMBL1148505
Fisetin,XHEFDIBZLJXQHF-UHFFFAOYSA-N,CHEMBL31574,1719475,CHEMBL859171,B,Inhibition of FabG,CHEMBL4513,3-oxoacyl-acyl-carrier protein reductase,IC50,=,4100.0,nM,5.39,CHEMBL1148505
