compound_name,inchikey,molecule_chembl_id,activity_id,assay_chembl_id,assay_type,assay_description,target_chembl_id,target_pref_name,standard_type,standard_relation,standard_value,standard_units,pchembl_value,document_chembl_id
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,937955,CHEMBL653950,F,In vitro antifungal activity against Candida albicans (CA 10231),CHEMBL366,Candida albicans,MIC,=,0.2,ug.mL-1,,CHEMBL1133206
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,937956,CHEMBL657529,F,In vitro for antifungal activity against Candida albicans (CA 579a),CHEMBL366,Candida albicans,MIC,=,0.2,ug.mL-1,,CHEMBL1133206
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,937957,CHEMBL659400,F,Compound was screened in vitro for antifungal activity against Candida albicans (CA 62376),CHEMBL366,Candida albicans,MIC,=,0.2,ug.mL-1,,CHEMBL1133206
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,937958,CHEMBL657526,F,Compound was screened in vitro for antifungal activity against Candida albicans (CA 442),CHEMBL366,Candida albicans,MIC,=,0.2,ug.mL-1,,CHEMBL1133206
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,937959,CHEMBL657523,F,Compound was screened in vitro for antifungal activity against Candida albicans (CA 38247),CHEMBL366,Candida albicans,MIC,=,0.2,ug.mL-1,,CHEMBL1133206
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,937960,CHEMBL659403,F,Compound was screened in vitro for antifungal activity against Candida tropicalis (CT 750),CHEMBL366,Candida albicans,MIC,=,0.2,ug.mL-1,,CHEMBL1133206
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,937961,CHEMBL656901,F,In vitro antifungal activity against Candida krusei (CK 28838),CHEMBL612841,Pichia kudriavzevii,MIC,=,0.78,ug.mL-1,,CHEMBL1133206
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,937962,CHEMBL809392,F,In vitro antifungal activity against Torulopsis glabrata (TG 15545),CHEMBL612647,Nakaseomyces glabratus,MIC,<,0.1,ug.mL-1,,CHEMBL1133206
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,937963,CHEMBL695826,F,Inhibitory activity against human concanavalin-A proliferation assay,CHEMBL372,Homo sapiens,IC50,=,1.0,nM,9.00,CHEMBL1133206
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,937964,CHEMBL677106,B,The compound was tested for binding affinity to FK506 binding protein 12 with an ascomycin conjugate of alkaline phosphatase in a competition binding assay,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,IC50,=,1.6,nM,8.80,CHEMBL1133206
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,937965,CHEMBL657524,F,In vitro antifungal activity against Candida albicans (CA 38247); Weak,CHEMBL366,Candida albicans,MIC,,,ug.mL-1,,CHEMBL1133206
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,937966,CHEMBL659401,F,In vitro antifungal activity against Candida albicans (CA 62376); Weak,CHEMBL366,Candida albicans,MIC,,,ug.mL-1,,CHEMBL1133206
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,937967,CHEMBL657527,F,In vitro antifungal activity against Candida albicans (CA 442); Weak,CHEMBL366,Candida albicans,MIC,,,ug.mL-1,,CHEMBL1133206
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,937968,CHEMBL659406,F,Compound was screened in vitro for antifungal activity at a minimum inhibitory concentration (~100 ug/mL) against Cr. albicans (CrA 34140); Not affected,CHEMBL366,Candida albicans,MIC,~,100.0,ug.mL-1,,CHEMBL1133206
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,937969,CHEMBL648773,F,In vitro antifungal activity at a minimum inhibitory concentration (~100 ug/mL) against Aspergillus niger; Not affected,CHEMBL358,Aspergillus niger,MIC,~,100.0,ug.mL-1,,CHEMBL1133206
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,992867,CHEMBL678143,B,Compound was tested for its ability to inhibit FK506 binding protein 12 rotamase activity,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,Ki,=,0.2,nM,9.70,CHEMBL1131428
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,992868,CHEMBL657255,F,In Vitro neurotrophic effect was measured in cultured chick DRG sensory neurons.,CHEMBL613109,Gallus gallus,ED50,=,0.5,nM,9.30,CHEMBL1131428
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,1478070,CHEMBL836230,A,log (1/Km) value for human liver microsome cytochrome P450 3A4,CHEMBL340,Cytochrome P450 3A4,Log 1/Km,=,-0.9069,,,CHEMBL1142817
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,1605332,CHEMBL881779,B,Inhibitory concentration against binding to FKBP12,CHEMBL1902,Peptidyl-prolyl cis-trans isomerase FKBP1A,IC50,=,0.45,nM,9.35,CHEMBL1143652
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,1615020,CHEMBL881403,B,Inhibitory concentration against FKBP12 receptor,CHEMBL2842,Serine/threonine-protein kinase mTOR,IC50,=,0.45,nM,9.35,CHEMBL1143652
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,1659907,CHEMBL871328,B,Inhibitory activity against FKBP12,CHEMBL2842,Serine/threonine-protein kinase mTOR,IC50,=,1.6,nM,8.80,CHEMBL1141950
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,1660096,CHEMBL862732,F,T-cell antiproliferative activity in human mixed lymphocyte reaction,CHEMBL614309,T-cell,IC50,=,1.6,nM,8.80,CHEMBL1141950
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,1660105,CHEMBL871329,F,Antiproliferative activity in Lewis rat lymph node cells in rat mixed lymphocyte reaction,CHEMBL614309,T-cell,IC50,=,2600.0,nM,5.58,CHEMBL1141950
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,1660117,CHEMBL854314,F,Efficacy in T-cell mediated inflammatory response by delayed type hypersensitivity model in Sprague-Dawley rat,CHEMBL376,Rattus norvegicus,ED50,=,0.5,mg.kg-1,,CHEMBL1141950
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,1660118,CHEMBL854317,F,Efficacy in CD4+ T-cell mediated experimental autoimmune encephalomyelitis model in Lewis rat,CHEMBL376,Rattus norvegicus,ED50,=,0.3,mg.kg-1,,CHEMBL1141950
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,1660119,CHEMBL854318,F,Efficacy in T-cell mediated adjuvant arthritis model in Lewis rat,CHEMBL376,Rattus norvegicus,ED50,=,0.2,mg.kg-1,,CHEMBL1141950
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,1660129,CHEMBL854319,A,"Half life in male Sprague-Dawley rat administered with 2.5 mg/kg, po",CHEMBL376,Rattus norvegicus,T1/2,=,33.4,hr,,CHEMBL1141950
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,1660130,CHEMBL862631,A,"Cmax in male Sprague-Dawley rat administered with 2.5 mg/kg, po",CHEMBL376,Rattus norvegicus,Cmax,=,55.57,nM,,CHEMBL1141950
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,1660131,CHEMBL854315,A,"Tmax in male Sprague-Dawley rat administered with 2.5 mg/kg, po",CHEMBL376,Rattus norvegicus,Tmax,=,0.5,hr,,CHEMBL1141950
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,1660132,CHEMBL862630,A,"AUC in male Sprague-Dawley rat administered with 2.5 mg/kg, po",CHEMBL376,Rattus norvegicus,AUC,=,559.0,ng.hr.mL-1,,CHEMBL1141950
Rapamycin,QFJCIRLUMZQUOT-HPLJOQBZSA-N,CHEMBL413,1660133,CHEMBL854320,A,"Oral bioavailability in male Sprague-Dawley rat administered with 2.5 mg/kg, po",CHEMBL376,Rattus norvegicus,F,=,43.2,%,,CHEMBL1141950
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25915209,CHEMBL5526315,F,Antiproliferative activity against human KOPT-K1 cells assessed as inhibition of cell growth at 100 nM measured for 18 hrs by celltiter glo assay,CHEMBL4483252,KOPTK1,Activity,,,,,CHEMBL5523741
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25915210,CHEMBL5526316,F,Antiproliferative activity against human KOPT-K1 cells assessed as inhibition of cell growth at 100 nM measured for 160 hrs by celltiter glo assay,CHEMBL4483252,KOPTK1,Activity,,,,,CHEMBL5523741
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25915216,CHEMBL5526321,F,Downregulation of CSK in human KOPT-K1 cells measured for 6 hrs by tandem mass tag proteomic assay,CHEMBL612545,Unchecked,Activity,,,,,CHEMBL5523741
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25915218,CHEMBL5526322,F,Downregulation of CISH in human KOPT-K1 cells measured for 6 hrs by tandem mass tag proteomic assay,CHEMBL612545,Unchecked,Activity,,,,,CHEMBL5523741
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25915220,CHEMBL5526323,F,Downregulation of EPHB1 in human KOPT-K1 cells measured for 6 hrs by tandem mass tag proteomic assay,CHEMBL612545,Unchecked,Activity,,,,,CHEMBL5523741
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922171,CHEMBL5528787,B,Inhibition of N-terminal GST-tagged recombinant full length human c-Src kinase expressed in baculovirus-infected Sf9 cells at 10 nM preincubated for 30 mins followed by HTRF buffer addition and measured after 1 hr by HTRF KinEASE-TK assay,CHEMBL267,Proto-oncogene tyrosine-protein kinase Src,Inhibition,=,99.85,%,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922194,CHEMBL5528789,F,Antiproliferative activity against human MDA-MB-231 cells assessed as inhibition of cell viability incubated for 72 hrs by CCK8 assay,CHEMBL400,MDA-MB-231,IC50,=,157.0,nM,6.80,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922198,CHEMBL5528790,F,Antiproliferative activity against human MCF7 cells assessed as inhibition of cell viability incubated for 3 to 4 days by CCK8 assay,CHEMBL387,MCF7,Activity,,,,,CHEMBL5528017
Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,CHEMBL1421,25922200,CHEMBL5528791,F,Antiproliferative activity against human A549 cells assessed as inhibition of cell viability incubated for 3 to 4 days by CCK8 assay,CHEMBL392,A549,Activity,,,,,CHEMBL5528017
