target_chembl_id,pref_name,target_type,organism,uniprot_accession
CHEMBL2457,Polyunsaturated fatty acid lipoxygenase ALOX15B,SINGLE PROTEIN,Homo sapiens,O15296
CHEMBL301,Cyclin-dependent kinase 2,SINGLE PROTEIN,Homo sapiens,P24941
CHEMBL2916,Telomerase reverse transcriptase,SINGLE PROTEIN,Homo sapiens,O14746
CHEMBL3471,Human immunodeficiency virus type 1 integrase,SINGLE PROTEIN,Human immunodeficiency virus 1,Q7ZJM1
CHEMBL4855,2-dehydropantoate 2-reductase,SINGLE PROTEIN,Escherichia coli K-12,P0A9J4
CHEMBL5391,DNA polymerase iota,SINGLE PROTEIN,Homo sapiens,Q9UNA4
CHEMBL613979,HUVEC,CELL-LINE,Homo sapiens,
CHEMBL5027,Flap endonuclease 1,SINGLE PROTEIN,Homo sapiens,P39748
CHEMBL613977,SF-268,CELL-LINE,Homo sapiens,
CHEMBL358,Aspergillus niger,ORGANISM,Aspergillus niger,
CHEMBL3608,Epidermal growth factor receptor,SINGLE PROTEIN,Mus musculus,Q01279
CHEMBL387,MCF7,CELL-LINE,Homo sapiens,
CHEMBL2096907,"AMP-activated protein kinase, AMPK",PROTEIN COMPLEX GROUP,Homo sapiens,P54646
CHEMBL612518,LNCaP,CELL-LINE,Homo sapiens,
CHEMBL614632,RBL-2H3,CELL-LINE,Rattus norvegicus,
CHEMBL214,5-hydroxytryptamine receptor 1A,SINGLE PROTEIN,Homo sapiens,P08908
CHEMBL375,Mus musculus,ORGANISM,Mus musculus,
CHEMBL612888,Toxoplasma gondii,ORGANISM,Toxoplasma gondii,
CHEMBL612545,Unchecked,UNCHECKED,,
CHEMBL613847,Cynomolgus monkey,ORGANISM,Macaca fascicularis,
CHEMBL279,Vascular endothelial growth factor receptor 2,SINGLE PROTEIN,Homo sapiens,P35968
CHEMBL2755,"Glutathione reductase, mitochondrial",SINGLE PROTEIN,Homo sapiens,P00390
CHEMBL4828,Synaptic vesicular amine transporter,SINGLE PROTEIN,Rattus norvegicus,Q01827
CHEMBL1293224,Microtubule-associated protein tau,SINGLE PROTEIN,Homo sapiens,P10636
CHEMBL2093866,Estrogen receptor,PROTEIN FAMILY,Homo sapiens,Q92731
CHEMBL256,Adenosine receptor A3,SINGLE PROTEIN,Homo sapiens,P0DMS8
CHEMBL614530,BXPC-3,CELL-LINE,Homo sapiens,
CHEMBL5524,Protein arginine N-methyltransferase 1,SINGLE PROTEIN,Homo sapiens,Q99873
CHEMBL614791,KM-20L2,CELL-LINE,Homo sapiens,
CHEMBL228,Sodium-dependent serotonin transporter,SINGLE PROTEIN,Homo sapiens,P31645
CHEMBL2366169,NCI-H889,CELL-LINE,Homo sapiens,
CHEMBL365,Cryptococcus neoformans,ORGANISM,Cryptococcus neoformans,
CHEMBL4860,Apoptosis regulator Bcl-2,SINGLE PROTEIN,Homo sapiens,P10415
CHEMBL3784,Histone acetyltransferase p300,SINGLE PROTEIN,Homo sapiens,Q09472
CHEMBL4483252,KOPTK1,CELL-LINE,Homo sapiens,
CHEMBL612588,ASPC1,CELL-LINE,Homo sapiens,
CHEMBL389,P388,CELL-LINE,Mus musculus,
CHEMBL3622,Cytochrome P450 2C19,SINGLE PROTEIN,Homo sapiens,P33261
CHEMBL614910,SH-SY5Y,CELL-LINE,Homo sapiens,
CHEMBL4078,Acetylcholinesterase,SINGLE PROTEIN,Electrophorus electricus,O42275
CHEMBL1980,Sodium channel protein type 5 subunit alpha,SINGLE PROTEIN,Homo sapiens,Q14524
CHEMBL366,Candida albicans,ORGANISM,Candida albicans,
CHEMBL614822,NIH3T3,CELL-LINE,Mus musculus,
CHEMBL203,Epidermal growth factor receptor,SINGLE PROTEIN,Homo sapiens,P00533
CHEMBL373,Canis familiaris,ORGANISM,Canis lupus familiaris,
CHEMBL395,HepG2,CELL-LINE,Homo sapiens,
